,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,qaanaaq,GL,1584056449,0,44,77.48,-69.36,-19.97,5.26
1,torbay,CA,1584056450,90,92,47.67,-52.73,28.99,9.17
2,cape town,CL,1584056450,75,53,-36.41,-71.9,73.4,12.75
3,kapaa,US,1584056412,90,88,22.08,-159.32,77.0,11.41
4,bambous virieux,MU,1584056450,75,94,-20.26,57.41,80.01,6.91
5,east london,IS,1584056450,90,67,65.0,-15.0,23.0,3.36
6,lebu,CL,1584056451,100,98,-37.62,-73.65,58.5,3.36
7,tasiilaq,GL,1584056451,8,66,65.61,-37.64,14.0,19.46
8,hualmay,PE,1584056451,2,69,-11.1,-77.61,74.01,4.88
9,port elizabeth,CD,1584056451,100,73,-7.03,29.76,76.21,5.66
10,hithadhoo,MV,1584056451,19,69,-0.6,73.08,83.14,11.01
11,xichang,CN,1584056452,49,93,27.9,102.26,36.09,5.53
12,hasaki,JP,1584056452,75,76,35.73,140.83,54.0,6.93
13,tiarei,PF,1584056452,75,66,-17.53,-149.33,87.8,5.82
14,kodiak,US,1584056452,1,47,57.79,-152.41,33.8,13.87
15,adrar,MR,1584056452,9,11,20.5,-10.07,69.89,9.55
16,machico,PT,1584056453,40,72,32.7,-16.77,62.6,19.46
17,camana,PE,1584056453,54,80,-16.62,-72.71,67.93,4.7
18,karratha,AU,1584056428,46,74,-20.74,116.85,82.89,4.34
19,tighina,MD,1584056453,12,66,46.83,29.47,52.0,12.75
20,ryotsu,JP,1584056454,4,62,38.08,138.43,51.8,9.17
21,magistralnyy,RU,1584056454,100,86,56.17,107.45,19.26,6.8
22,vila franca do campo,PT,1584056454,93,81,42.03,-8.16,54.0,13.87
23,lavrentiya,RU,1584056454,100,88,65.58,-171.0,29.35,38.25
24,busselton,AU,1584056454,19,46,-33.65,115.33,66.99,18.05
25,port alfred,CD,1584056451,100,73,-7.03,29.76,76.21,5.66
26,bodden town,GB,1584056455,75,81,51.2,-2.52,45.0,23.04
27,gat,IL,1584056455,40,87,31.61,34.76,60.8,8.05
28,hilo,US,1584056182,1,54,19.73,-155.09,82.4,18.34
29,cururupu,BR,1584056455,81,97,-1.83,-44.87,74.44,1.41
30,balkhash,KZ,1584056456,100,80,46.84,74.98,20.98,9.73
31,ushuaia,AR,1584056456,75,66,-54.8,-68.3,53.6,1.59
32,saint-philippe,RE,1584056456,100,88,-21.36,55.77,80.6,13.87
33,monte alegre,FR,1584056457,75,93,42.47,9.39,51.8,2.24
34,morgan city,US,1584056457,90,87,39.72,-90.22,57.2,5.82
35,bethel,US,1584056457,90,65,41.37,-73.41,46.99,5.82
36,iqaluit,CA,1584056457,75,69,63.75,-68.51,-13.0,3.36
37,hofn,IS,1584056457,100,75,64.25,-15.21,30.02,17.52
38,grand river south east,US,1584056458,1,27,38.88,-109.5,62.6,9.17
39,sao filipe,IN,1584056458,3,22,20.51,76.21,62.92,8.79
40,vaini,TO,1584056458,75,83,-21.2,-175.2,82.4,10.29
41,puerto ayora,ES,1584056459,75,100,36.59,-6.23,59.0,1.01
42,nemuro,JP,1584056459,99,69,43.32,145.57,39.31,32.21
43,englewood,US,1584056204,90,52,39.65,-104.99,48.99,9.17
44,new norfolk,LR,1584056208,40,83,6.65,-10.59,82.4,1.81
45,malanje,AO,1584056460,96,97,-9.54,16.34,64.17,2.82
46,richards bay,US,1584056460,75,86,46.84,-95.91,33.8,14.99
47,vanimo,PG,1584056460,92,78,-2.67,141.3,82.56,10.29
48,eyl,SO,1584056460,99,80,7.98,49.82,78.57,20.62
49,yerbogachen,RU,1584056461,46,95,61.28,108.01,-6.68,5.1
50,lorengau,PG,1584056461,21,72,-2.02,147.27,84.61,13.0
51,saskylakh,RU,1584056461,100,94,71.92,114.08,-3.59,17.9
52,rikitea,PF,1584056461,2,77,-23.12,-134.97,77.79,17.9
53,mataura,NZ,1584056461,16,65,-46.19,168.86,63.0,4.0
54,acapulco,MX,1584056462,20,66,16.86,-99.89,86.0,5.82
55,albany,US,1584056462,90,49,42.6,-73.97,48.2,13.87
56,kaitangata,NZ,1584056462,2,77,-46.28,169.85,52.7,7.0
57,lavagna,IT,1584056462,100,93,44.31,9.34,55.4,17.22
58,alofi,NU,1584056462,75,83,-19.06,-169.92,82.4,10.29
59,bluff,NZ,1584056463,15,65,-46.6,168.33,63.0,4.0
60,mbuji-mayi,CD,1584056463,100,90,-6.15,23.6,69.82,1.07
61,benguela,AO,1584056463,95,79,-12.58,13.41,79.43,3.47
62,longyearbyen,SJ,1584056463,75,57,78.22,15.64,-9.4,13.87
63,yellowknife,CA,1584056429,90,70,62.46,-114.35,-5.8,13.87
64,ilulissat,GL,1584056464,75,71,69.22,-51.1,6.8,2.24
65,khatanga,RU,1584056464,12,85,71.97,102.5,-28.57,8.43
66,bengkulu,ID,1584056209,58,91,-3.8,102.27,73.96,3.91
67,shaunavon,CA,1584056464,97,89,49.65,-108.42,23.81,7.99
68,lubango,AO,1584056465,84,88,-14.92,13.49,62.11,3.31
69,fort smith,NL,1584056465,20,75,52.65,6.39,46.0,21.92
70,thompson,CA,1584056465,90,61,55.74,-97.86,14.0,17.22
71,cherskiy,RU,1584056465,100,95,68.75,161.3,-3.01,3.06
72,sayyan,YE,1584056465,4,38,15.17,44.32,45.27,1.63
73,praya,CV,1584056466,0,31,14.92,-23.51,77.0,16.11
74,hambantota,LK,1584056466,0,84,6.12,81.12,78.01,14.67
75,luderitz,NA,1584056466,0,88,-26.65,15.16,64.4,8.05
76,inverell,AU,1584056467,0,59,-29.78,151.12,73.99,5.99
77,cockburn town,AU,1584056467,16,34,-32.08,141.0,80.6,16.11
78,punta arenas,PH,1584056467,18,74,8.99,125.34,79.11,3.11
79,sidney,AU,1584056288,20,60,-33.87,151.21,75.0,6.93
80,tigre,AR,1584056467,0,73,-34.43,-58.58,78.01,4.7
81,pevek,RU,1584056468,100,95,69.7,170.31,6.8,7.52
82,ponta do sol,PT,1584056468,67,83,38.73,-28.27,56.39,9.26
83,panzhihua,CN,1584056468,0,62,26.59,101.71,49.1,0.76
84,fort nelson,NL,1584056465,20,75,52.65,6.39,46.0,21.92
85,ovsyanka,RU,1584056469,75,91,55.96,92.55,32.0,4.47
86,vagur,FO,1584056469,91,64,61.47,-6.81,34.3,17.16
87,hobart,AU,1584056444,90,72,-42.88,147.33,66.99,8.05
88,carnarvon,AU,1584056470,90,78,-24.87,113.63,78.8,5.82
89,moron,AR,1584056470,0,73,-34.65,-58.62,78.01,5.82
90,mar del plata,ES,1584056470,90,100,43.4,-4.01,53.01,3.36
91,sande,DE,1584056470,62,75,53.5,8.01,43.0,14.99
92,parati,BR,1584056470,68,87,-23.22,-44.71,70.97,0.69
93,arraial do cabo,BR,1584056471,10,65,-22.84,-46.65,77.0,10.29
94,atuona,PF,1584056471,57,74,-9.8,-139.03,82.15,8.16
95,sayansk,RU,1584056471,100,94,54.11,102.16,25.66,10.13
96,tuktoyaktuk,CA,1584056471,20,74,69.45,-133.04,-25.6,6.93
97,fairbanks,US,1584056403,75,65,64.84,-147.72,10.99,2.95
98,jamestown,US,1584056472,90,50,42.1,-79.24,57.2,8.05
99,ribeira grande,ES,1584056472,20,87,42.75,-8.44,53.01,10.29
100,port-gentil,GA,1584056472,100,88,-0.72,8.78,80.6,2.24
101,butaritari,KI,1584056473,24,77,3.07,172.79,83.08,8.86
102,barrow,US,1584056473,90,92,71.29,-156.79,10.4,25.28
103,keflavik,IS,1584056473,20,92,64.0,-22.56,24.8,8.05
104,mareeba,AU,1584056473,75,66,-17.0,145.43,84.99,16.11
105,hermanus,ZA,1584056473,1,93,-34.42,19.23,60.01,1.01
106,angleton,US,1584056436,75,73,29.17,-95.43,78.01,5.82
107,delta del tigre,NG,1584056474,75,92,5.5,6.0,78.49,4.76
108,turukhansk,RU,1584056474,84,64,65.82,87.98,8.13,13.06
109,bredasdorp,ZA,1584056474,4,92,-34.53,20.04,66.07,1.34
110,palana,RU,1584056474,100,90,59.12,159.97,16.72,35.79
111,aklavik,CA,1584056475,20,57,68.22,-135.01,-5.8,5.82
112,souillac,MU,1584056475,75,94,-20.52,57.52,80.01,6.91
113,iquique,CL,1584056475,40,73,-20.22,-70.14,73.4,19.46
114,iaciara,BR,1584056475,100,92,-14.1,-46.63,72.01,1.63
115,warri,NG,1584056476,75,92,5.52,5.75,78.49,4.76
116,stettler,CA,1584056476,100,75,52.32,-112.72,25.0,10.0
117,upernavik,GL,1584056476,100,92,72.79,-56.15,-16.85,4.54
118,gotsu,JP,1584056477,75,81,35.0,132.22,42.8,8.05
119,dalbandin,PK,1584056477,0,36,28.89,64.41,52.45,3.85
120,necochea,AR,1584056478,27,89,-38.55,-58.74,70.0,3.0
121,peniche,PT,1584056478,20,87,39.36,-9.38,55.99,13.87
122,severnoye,RU,1584056478,100,96,56.35,78.36,30.56,12.24
123,hobyo,SO,1584056479,89,78,5.35,48.53,78.42,15.57
124,bulgan,MN,1584056479,25,72,48.81,103.53,8.29,4.61
125,chokurdakh,RU,1584056479,72,95,70.63,147.92,-26.07,6.31
126,nikolskoye,RU,1584056479,90,96,59.7,30.79,37.99,2.24
127,teguise,ES,1584056479,20,82,29.06,-13.56,64.4,11.41
128,ugoofaaru,MV,1584056480,28,73,5.67,73.0,82.83,10.22
129,castro,BR,1584056480,33,67,-24.79,-50.01,66.96,6.04
130,fortuna,US,1584056480,1,62,40.6,-124.16,73.0,19.46
131,cape elizabeth,CL,1584056480,75,53,-36.41,-71.9,73.4,12.75
132,padang,ID,1584056480,38,95,-0.95,100.35,68.49,4.5
133,nouadhibou,MR,1584056481,6,33,20.93,-17.03,73.4,9.17
134,gamba,GA,1584056481,98,91,-2.65,10.0,78.04,2.75
135,antofagasta,CL,1584056201,20,77,-23.65,-70.4,68.0,11.41
136,felanitx,ES,1584056481,100,62,39.47,3.15,57.0,4.7
137,maceio,BR,1584056431,40,94,-9.67,-35.74,77.0,5.82
138,puerto escondido,ES,1584056482,75,100,36.59,-6.23,59.0,1.01
139,shingu,JP,1584056482,75,71,33.73,135.98,53.6,3.36
140,lapua,FI,1584056483,90,93,62.97,23.01,34.0,4.7
141,wadi musa,IN,1584056483,65,48,17.07,76.98,79.25,7.36
142,ancud,CL,1584056483,75,87,-41.87,-73.82,60.8,8.05
143,asau,RO,1584056483,64,76,46.43,26.4,50.0,11.41
144,lata,PT,1584056484,90,82,40.16,-8.33,55.99,11.41
145,avarua,CK,1584056484,26,88,-21.21,-159.78,80.6,5.82
146,skjervoy,NO,1584056484,100,67,70.03,20.97,23.16,20.15
147,egvekinot,RU,1584056484,100,98,66.32,-179.17,30.76,20.67
148,leningradskiy,RU,1584056485,99,77,69.38,178.42,21.65,14.23
149,kloulklubed,PW,1584056485,75,83,7.04,134.26,80.6,10.29
150,flinders,AU,1584056485,17,52,-34.58,150.86,72.0,12.75
151,grand forks,US,1584056485,1,27,38.88,-109.5,62.6,9.17
152,coihaique,CL,1584056485,75,87,-45.58,-72.07,55.4,3.36
153,kavieng,PG,1584056486,41,73,-2.57,150.8,84.34,11.1
154,cap-aux-meules,CA,1584056486,75,79,47.38,-61.86,21.2,10.29
155,harper,LR,1584056486,48,94,4.38,-7.72,77.95,3.76
156,beberibe,BR,1584056486,40,88,-4.18,-38.13,78.8,5.82
157,santa maria,PH,1584056487,4,65,17.49,120.43,80.83,2.89
158,festus,US,1584056487,75,93,38.22,-90.4,64.0,3.36
159,pisco,PE,1584056487,40,30,-13.7,-76.22,73.0,17.22
160,plouzane,FR,1584056488,20,75,48.38,-4.62,46.4,6.93
161,raudeberg,NO,1584056488,100,69,61.99,5.14,35.6,13.87
162,belmonte,BR,1584056488,75,94,-15.86,-38.88,75.2,2.24
163,asuncion nochixtlan,PY,1584056227,37,40,-25.3,-57.64,89.6,2.24
164,yulara,AU,1584056489,0,18,-25.24,130.99,84.2,12.75
165,olafsvik,IS,1584056489,100,90,64.89,-23.71,24.93,14.2
166,zhigansk,RU,1584056489,100,95,66.77,123.37,-3.96,18.48
167,atar,MR,1584056489,34,8,20.52,-13.05,71.17,8.37
168,faanui,PF,1584056489,61,70,-16.48,-151.75,83.41,10.42
169,nambucca heads,AU,1584056489,99,73,-30.63,152.98,71.6,12.75
170,pithapuram,IN,1584056490,0,80,17.12,82.27,78.24,1.83
171,khomutovo,RU,1584056490,90,100,52.47,104.4,26.6,4.47
172,cabra,ES,1584056490,41,72,37.47,-4.44,59.0,3.36
173,aden,YE,1584056466,27,52,12.78,45.04,75.22,19.73
174,eureka,US,1584056491,1,48,40.8,-124.16,64.99,14.99
175,salalah,OM,1584056491,40,69,17.02,54.09,73.4,3.36
176,minab,IR,1584056491,60,93,27.15,57.08,62.6,2.24
177,samana,DO,1584056491,75,100,19.21,-69.34,71.6,1.99
178,gombe,NG,1584056492,85,13,10.29,11.17,68.2,11.77
179,ambon,ID,1584056462,20,83,-3.7,128.18,82.4,3.36
180,juegang,CN,1584056492,80,91,32.32,121.19,54.0,12.21
181,rocha,UY,1584056492,7,97,-34.48,-54.33,65.01,2.91
182,cabo san lucas,BR,1584056492,90,70,-8.28,-35.03,84.2,11.41
183,steinbach,DE,1584056493,40,75,50.17,8.57,48.0,14.99
184,bauchi,NG,1584056493,48,12,10.5,10.0,65.34,5.55
185,jiazi,CN,1584056493,91,80,22.88,116.07,69.78,1.63
186,mys shmidta,RU,1584056493,100,97,62.06,48.62,33.4,11.79
187,tuatapere,NZ,1584056493,1,65,-46.13,167.68,63.0,4.0
188,georgetown,MY,1584056494,20,94,5.41,100.34,80.6,3.36
189,pemangkat,ID,1584056494,88,88,1.17,108.97,78.15,4.32
190,cayenne,GF,1584056494,23,83,4.93,-52.33,75.2,6.85
191,aksarka,RU,1584056494,100,100,66.56,67.8,34.7,14.72
192,pacific grove,US,1584056424,90,87,38.48,-90.74,61.0,3.36
193,haines junction,US,1584056495,1,35,59.23,-135.44,24.8,14.99
194,mahebourg,MU,1584056495,75,94,-20.41,57.7,80.01,6.91
195,constitucion,CL,1584056495,84,96,-35.33,-72.42,57.56,2.89
196,cortez,US,1584056496,1,47,37.35,-108.59,55.4,3.36
197,sitka,US,1584056496,20,51,57.05,-135.33,35.6,5.82
198,jalu,LY,1584056496,23,66,29.03,21.55,56.01,16.84
199,vao,NC,1584056496,92,77,-22.67,167.48,80.73,7.65
200,kailua,US,1584056481,90,94,21.4,-157.74,75.2,5.82
201,dikson,RU,1584056497,100,64,73.51,80.55,-1.52,32.66
202,ordynskoye,RU,1584056497,22,88,54.37,81.9,16.88,9.8
203,saldanha,ZA,1584056497,0,92,-33.01,17.94,59.88,7.54
204,carutapera,BR,1584056497,77,78,-1.2,-46.02,81.59,7.96
205,airai,TL,1584056497,0,78,-8.93,125.41,73.76,3.0
206,fukue,JP,1584056498,75,81,32.69,128.84,53.6,3.36
207,pierre,US,1584056481,1,36,44.37,-100.35,44.6,26.4
208,saint-pierre,RE,1584056498,100,88,-21.34,55.48,80.6,13.87
209,gao,ML,1584056498,0,9,16.64,1.64,73.8,12.95
210,samarai,PG,1584056498,94,76,-10.62,150.67,84.02,7.14
211,progreso,MX,1584056499,75,51,21.28,-89.67,86.0,11.41
212,wewak,PG,1584056499,100,68,-3.55,143.63,84.18,8.81
213,havelock,US,1584056499,1,68,34.88,-76.9,68.0,8.05
214,sao joao da barra,IN,1584056458,3,22,20.51,76.21,62.92,8.79
215,norman wells,US,1584056500,1,27,35.22,-97.44,79.0,11.41
216,kandrian,PG,1584056500,23,68,-6.22,149.55,84.76,15.48
217,bur gabo,DK,1584056500,96,86,56.37,8.43,42.01,12.75
218,mildura,AU,1584056500,33,39,-34.2,142.15,78.8,11.41
219,baglung,NP,1584056501,44,28,28.27,83.59,40.5,6.67
220,beyneu,KZ,1584056501,100,53,45.32,55.2,51.01,9.33
221,ponta delgada,PT,1584056468,67,83,38.73,-28.27,56.39,9.26
222,taoudenni,ML,1584056501,61,11,22.68,-3.98,71.31,7.36
223,nanortalik,GL,1584056502,0,75,60.14,-45.24,22.12,8.19
224,buala,SB,1584056502,100,73,-8.14,159.59,80.15,3.67
225,gizo,SB,1584056502,100,74,-8.1,156.84,80.98,8.41
226,muroto,JP,1584056502,75,66,33.28,134.15,48.2,8.05
227,palmer,US,1584056502,90,48,42.16,-72.33,48.2,4.7
228,hirara,JP,1584056503,75,100,24.8,125.28,68.0,20.8
229,geraldton,AU,1584056455,90,78,-28.77,114.6,71.6,9.17
230,partenit,UA,1584056503,0,83,44.58,34.34,50.38,3.53
231,honningsvag,NO,1584056467,90,92,70.98,25.97,23.0,28.86
232,nelson bay,NZ,1584056504,0,63,-41.28,173.28,66.99,5.01
233,gazanjyk,TM,1584056504,54,28,39.24,55.52,53.71,7.07
234,ferme-neuve,CA,1584056504,38,89,46.7,-75.45,29.17,6.08
235,ishigaki,JP,1584056505,75,94,24.34,124.16,71.6,10.29
236,lasa,IT,1584056505,75,93,46.62,10.7,51.01,1.12
237,praia,CV,1584056505,0,31,14.92,-23.51,77.0,16.11
238,broome,US,1584056505,90,56,42.25,-75.83,50.0,12.75
239,dulce grande,US,1584056506,40,37,36.93,-107.0,54.0,6.93
240,nyurba,RU,1584056506,100,93,63.28,118.33,-0.44,13.38
241,port blair,CD,1584056506,100,73,-7.03,29.76,76.21,5.66
242,bilma,NE,1584056506,9,32,18.69,12.92,59.2,13.94
243,sola,VU,1584056506,95,71,-13.88,167.55,86.18,12.35
244,daru,PG,1584056507,100,69,-9.08,143.21,84.85,9.1
245,teknaf,BD,1584056507,0,65,20.86,92.31,64.98,1.52
246,kruisfontein,ZA,1584056507,87,96,-34.0,24.73,66.18,2.06
247,kahului,US,1584056507,40,65,20.89,-156.47,80.6,12.75
248,puerto del rosario,ES,1584056482,75,100,36.59,-6.23,59.0,1.01
249,sambava,MG,1584056508,99,87,-14.27,50.17,75.52,1.5
250,matagami,CA,1584056508,90,74,49.75,-77.63,33.8,16.11
251,terney,RU,1584056508,3,57,45.05,136.61,15.12,12.28
252,petrozavodsk,RU,1584056508,84,93,61.78,34.35,35.6,2.24
253,korla,CN,1584056509,100,94,41.76,86.15,34.0,1.19
254,gillette,US,1584056509,75,51,44.29,-105.5,36.0,8.05
255,beringovskiy,RU,1584056509,100,96,63.05,179.32,35.31,25.86
256,mtwara,TZ,1584056509,51,98,-10.27,40.18,73.54,3.09
257,umba,RU,1584056510,91,91,66.69,34.34,25.7,3.8
258,kil,SE,1584056295,42,80,59.51,13.31,37.0,12.75
259,hukuntsi,BW,1584056510,94,43,-24.0,21.75,75.85,5.79
260,dingle,PH,1584056511,24,81,11.0,122.67,77.59,9.4
261,norfolk,US,1584055895,90,65,42.17,-71.25,45.0,3.36
262,luanda,AO,1584056511,20,88,-8.84,13.23,80.6,2.24
263,chuy,UY,1584056511,50,92,-33.7,-53.46,71.26,8.08
264,liku,ID,1584056511,71,88,-0.73,119.89,75.58,1.97
265,lingyuan,CN,1584056512,0,24,41.24,119.4,26.08,4.97
266,chitrakonda,IN,1584056512,0,78,18.12,82.08,69.62,3.65
267,khash,IR,1584056472,0,22,28.22,61.22,48.07,7.81
268,lebyazhye,RU,1584056512,85,93,55.27,66.49,26.65,16.98
269,tiksi,RU,1584056512,87,87,71.69,128.87,-20.54,3.15
270,banda aceh,IN,1584056513,32,75,25.48,80.33,70.43,4.03
271,seoul,KR,1584056475,75,44,37.57,126.98,42.8,3.36
272,isla vista,PH,1584056513,41,59,15.89,120.3,78.98,5.77
273,akdepe,TM,1584056514,91,45,42.06,59.38,46.4,9.17
274,terrace bay,CA,1584056330,40,48,54.52,-128.6,39.2,4.7
